Muestra 1;;;;
23/06/2023 20:11;;;;
Longitud de onda (nm);10mm Absorbance;;;
//WLCalib: Shift;-0,04667;;;
//WLCalib: 261S;0,05;;;
//WLCalib: 362S;0,17;;;
//WLCalib: 484S;0,16;;;
//WLCalib: 529S;0,29;;;
//WLCalib: 823S;0,07;;;
//QSpecEnd:;;;;
783,5;-1,76;;;
784;-1,643;;;
784,5;-1,784;;;
785;-1,817;;;
785,5;-1,603;;;
786;-1,706;;;
786,5;-1,926;;;
787;-1,946;;;
787,5;-1,795;;;
788;-1,556;;;
788,5;-1,257;;;
789;-0,986;;;
789,5;-1,215;;;
790;-1,104;;;
790,5;-1,155;;;
791;-1,5;;;
791,5;-1,7;;;
792;-1,656;;;
792,5;-1,476;;;
793;-1,259;;;
793,5;-1,109;;;
794;-1,064;;;
794,5;-1,106;;;
795;-0,952;;;
795,5;-1,058;;;
796;-1,303;;;
796,5;-1,472;;;
797;-1,739;;;
797,5;-1,889;;;
798;-2,13;;;
798,5;-2,201;;;
799;-2,085;;;
799,5;-1,813;;;
800;-1,497;;;
800,5;-1,279;;;
801;-1,176;;;
801,5;-1,034;;;
802;-1,135;;;
802,5;-1,274;;;
803;-1,449;;;
803,5;-1,702;;;
804;-1,987;;;
804,5;-2,24;;;
805;-2,313;;;
805,5;-2,245;;;
806;-2,219;;;
806,5;-2,122;;;
807;-1,916;;;
807,5;-1,655;;;
808;-1,493;;;
808,5;-1,414;;;
809;-1,303;;;
809,5;-1,091;;;
810;-0,935;;;
810,5;-0,949;;;
811;-1,263;;;
811,5;-1,673;;;
812;-2,044;;;
812,5;-2,5;;;
813;-2,761;;;
813,5;-2,572;;;
814;-2,223;;;
814,5;-1,759;;;
815;-1,608;;;
815,5;-1,439;;;
816;-1,296;;;
816,5;-1,416;;;
817;-1,548;;;
817,5;-1,587;;;
818;-1,545;;;
818,5;-1,438;;;
819;-1,509;;;
819,5;-1,595;;;
820;-1,74;;;
820,5;-1,569;;;
821;-1,25;;;
821,5;-0,979;;;
822;-0,683;;;
822,5;-0,509;;;
823;-0,495;;;
823,5;-0,534;;;
824;-0,721;;;
824,5;-0,824;;;
825;-0,898;;;
825,5;-0,883;;;
826;-0,909;;;
826,5;-0,964;;;
827;-1,192;;;
827,5;-1,431;;;
828;-1,404;;;
828,5;-1,465;;;
829;-1,483;;;
829,5;-1,491;;;
830;-1,577;;;
830,5;-1,568;;;
831;-1,625;;;
831,5;-1,681;;;
832;-1,818;;;
832,5;-1,759;;;
833;-1,509;;;
833,5;-1,328;;;
834;-1,082;;;
834,5;-0,947;;;
835;-0,956;;;
835,5;-0,753;;;
836;-0,738;;;
836,5;-0,73;;;
837;-0,862;;;
837,5;-1,084;;;
838;-1,121;;;
838,5;-1,223;;;
839;-1,315;;;
839,5;-1,362;;;
840;-1,227;;;
840,5;-0,913;;;
841;-0,851;;;
841,5;-0,8;;;
842;-1,09;;;
842,5;-1,489;;;
843;-1,935;;;
843,5;-2,275;;;
844;-2,541;;;
844,5;-2,555;;;
845;-2,42;;;
845,5;-1,985;;;
846;-2,047;;;
846,5;-1,912;;;
847;-1,814;;;
847,5;-1,691;;;
848;-1,931;;;
848,5;-1,633;;;
849;-1,613;;;
849,5;-1,771;;;
850;-1,8;;;
;;;;
;;;;
Muestra 3;;;;
23/06/2023 20:14;;;;
Longitud de onda (nm);10mm Absorbance;;;
//WLCalib: Shift;-0,04667;;;
//WLCalib: 261S;0,05;;;
//WLCalib: 362S;0,17;;;
//WLCalib: 484S;0,16;;;
//WLCalib: 529S;0,29;;;
//WLCalib: 823S;0,07;;;
//QSpecEnd:;;;;
190;207,534;;;
190,5;208,1;;;
191;207,421;;;
191,5;207,073;;;
192;204,887;;;
192,5;203,918;;;
193;202,298;;;
193,5;200,149;;;
194;197,565;;;
194,5;195,664;;;
195;192,912;;;
195,5;190,303;;;
196;187,118;;;
196,5;184,202;;;
197;181,255;;;
197,5;178,926;;;
198;176,29;;;
198,5;173,623;;;
199;170,745;;;
199,5;168,371;;;
200;165,887;;;
200,5;163,445;;;
201;160,941;;;
201,5;158,393;;;
202;156,2;;;
202,5;154,14;;;
203;151,756;;;
203,5;149,604;;;
204;147,651;;;
204,5;145,591;;;
205;143,409;;;
205,5;141,205;;;
206;139,078;;;
206,5;136,708;;;
207;134,718;;;
207,5;132,704;;;
208;130,247;;;
208,5;127,972;;;
209;125,706;;;
209,5;122,861;;;
210;120,161;;;
210,5;117,916;;;
211;115,363;;;
211,5;113,101;;;
212;111,199;;;
212,5;109,207;;;
213;107,031;;;
213,5;104,934;;;
214;102,599;;;
214,5;100,268;;;
215;98,245;;;
215,5;96,379;;;
216;94,114;;;
216,5;92,35;;;
217;90,623;;;
217,5;88,838;;;
218;86,975;;;
218,5;85,234;;;
219;83,338;;;
219,5;81,761;;;
220;80,188;;;
220,5;78,524;;;
221;76,852;;;
221,5;75,166;;;
222;73,499;;;
222,5;71,907;;;
223;70,236;;;
223,5;68,552;;;
224;66,946;;;
224,5;65,539;;;
225;64,104;;;
225,5;62,435;;;
226;60,751;;;
226,5;58,954;;;
227;57,314;;;
227,5;55,852;;;
228;54,45;;;
228,5;53,27;;;
229;52,279;;;
229,5;51,366;;;
230;50,407;;;
230,5;49,307;;;
231;48,071;;;
231,5;46,718;;;
232;45,268;;;
232,5;43,802;;;
233;42,307;;;
233,5;40,87;;;
234;39,54;;;
234,5;38,376;;;
235;37,244;;;
235,5;36,211;;;
236;35,318;;;
236,5;34,456;;;
237;33,543;;;
237,5;32,685;;;
238;31,84;;;
238,5;31,069;;;
239;30,381;;;
239,5;29,742;;;
240;29,08;;;
240,5;28,444;;;
241;27,956;;;
241,5;27,462;;;
242;27,062;;;
242,5;26,726;;;
243;26,394;;;
243,5;26,079;;;
244;25,749;;;
244,5;25,393;;;
245;25,001;;;
245,5;24,675;;;
246;24,495;;;
246,5;24,333;;;
247;24,314;;;
247,5;24,313;;;
248;24,306;;;
248,5;24,239;;;
249;24,066;;;
249,5;23,82;;;
250;23,545;;;
250,5;23,348;;;
251;23,198;;;
251,5;23,124;;;
252;23,118;;;
252,5;23,165;;;
253;23,161;;;
253,5;23,182;;;
254;23,163;;;
254,5;23,149;;;
255;23,104;;;
255,5;23,077;;;
256;23,055;;;
256,5;23,025;;;
257;22,942;;;
257,5;22,844;;;
258;22,726;;;
258,5;22,711;;;
259;22,748;;;
259,5;22,812;;;
260;22,867;;;
260,5;22,997;;;
261;23,019;;;
261,5;23,006;;;
262;22,997;;;
262,5;22,994;;;
263;23;;;
263,5;22,995;;;
264;23,032;;;
264,5;23,065;;;
265;23,09;;;
265,5;23,101;;;
266;22,975;;;
266,5;22,9;;;
267;22,839;;;
267,5;22,773;;;
268;22,649;;;
268,5;22,523;;;
269;22,403;;;
269,5;22,356;;;
270;22,319;;;
270,5;22,339;;;
271;22,375;;;
271,5;22,404;;;
272;22,351;;;
272,5;22,255;;;
273;22,084;;;
273,5;21,81;;;
274;21,451;;;
274,5;21,118;;;
275;20,793;;;
275,5;20,552;;;
276;20,384;;;
276,5;20,173;;;
277;20,044;;;
277,5;19,924;;;
278;19,796;;;
278,5;19,658;;;
279;19,492;;;
279,5;19,348;;;
280;19,211;;;
280,5;19,077;;;
281;18,945;;;
281,5;18,82;;;
282;18,695;;;
282,5;18,48;;;
283;18,287;;;
283,5;18,125;;;
284;17,885;;;
284,5;17,651;;;
285;17,435;;;
285,5;17,274;;;
286;17,125;;;
286,5;17,027;;;
287;16,84;;;
287,5;16,675;;;
288;16,467;;;
288,5;16,296;;;
289;16,054;;;
289,5;15,862;;;
290;15,747;;;
290,5;15,651;;;
291;15,564;;;
291,5;15,475;;;
292;15,305;;;
292,5;15,166;;;
293;14,973;;;
293,5;14,82;;;
294;14,709;;;
294,5;14,638;;;
295;14,557;;;
295,5;14,484;;;
296;14,407;;;
296,5;14,26;;;
297;14,045;;;
297,5;13,842;;;
298;13,586;;;
298,5;13,36;;;
299;13,182;;;
299,5;12,964;;;
300;12,798;;;
300,5;12,682;;;
301;12,561;;;
301,5;12,447;;;
302;12,267;;;
302,5;12,098;;;
303;11,851;;;
303,5;11,63;;;
304;11,399;;;
304,5;11,167;;;
305;11,02;;;
305,5;10,886;;;
306;10,785;;;
306,5;10,642;;;
307;10,471;;;
307,5;10,335;;;
308;10,16;;;
308,5;10,055;;;
309;9,969;;;
309,5;9,909;;;
310;9,872;;;
310,5;9,855;;;
311;9,821;;;
311,5;9,672;;;
312;9,543;;;
312,5;9,428;;;
313;9,312;;;
313,5;9,266;;;
314;9,227;;;
314,5;9,215;;;
315;9,179;;;
315,5;9,135;;;
316;9,026;;;
316,5;8,844;;;
317;8,734;;;
317,5;8,614;;;
318;8,494;;;
318,5;8,421;;;
319;8,447;;;
319,5;8,454;;;
320;8,397;;;
320,5;8,311;;;
321;8,174;;;
321,5;8,031;;;
322;7,919;;;
322,5;7,825;;;
323;7,8;;;
323,5;7,805;;;
324;7,909;;;
324,5;7,901;;;
325;7,83;;;
325,5;7,81;;;
326;7,733;;;
326,5;7,656;;;
327;7,571;;;
327,5;7,511;;;
328;7,462;;;
328,5;7,332;;;
329;7,249;;;
329,5;7,136;;;
330;7,025;;;
330,5;6,985;;;
331;6,954;;;
331,5;6,968;;;
332;6,974;;;
332,5;6,955;;;
333;6,949;;;
333,5;6,861;;;
334;6,812;;;
334,5;6,711;;;
335;6,547;;;
335,5;6,412;;;
336;6,331;;;
336,5;6,216;;;
337;6,067;;;
337,5;5,967;;;
338;5,922;;;
338,5;5,852;;;
339;5,877;;;
339,5;5,806;;;
340;5,737;;;
340,5;5,753;;;
341;5,735;;;
341,5;5,685;;;
342;5,602;;;
342,5;5,556;;;
343;5,579;;;
343,5;5,546;;;
344;5,567;;;
344,5;5,525;;;
345;5,542;;;
345,5;5,56;;;
346;5,514;;;
346,5;5,449;;;
347;5,354;;;
347,5;5,309;;;
348;5,294;;;
348,5;5,211;;;
349;5,199;;;
349,5;5,192;;;
350;5,228;;;
350,5;5,183;;;
351;5,127;;;
351,5;5,041;;;
352;4,976;;;
352,5;4,98;;;
353;4,963;;;
353,5;4,949;;;
354;4,988;;;
354,5;4,997;;;
355;4,981;;;
355,5;4,931;;;
356;4,909;;;
356,5;4,9;;;
357;4,868;;;
357,5;4,869;;;
358;4,865;;;
358,5;4,864;;;
359;4,873;;;
359,5;4,817;;;
360;4,757;;;
360,5;4,712;;;
361;4,745;;;
361,5;4,8;;;
362;4,826;;;
362,5;4,8;;;
363;4,787;;;
363,5;4,757;;;
364;4,714;;;
364,5;4,618;;;
365;4,475;;;
365,5;4,323;;;
366;4,269;;;
366,5;4,188;;;
367;4,15;;;
367,5;4,041;;;
368;3,985;;;
368,5;3,992;;;
369;4,004;;;
369,5;3,954;;;
370;3,888;;;
370,5;3,857;;;
371;3,829;;;
371,5;3,794;;;
372;3,766;;;
372,5;3,703;;;
373;3,654;;;
373,5;3,6;;;
374;3,581;;;
374,5;3,501;;;
375;3,516;;;
375,5;3,534;;;
376;3,574;;;
376,5;3,61;;;
377;3,641;;;
377,5;3,665;;;
378;3,651;;;
378,5;3,626;;;
379;3,595;;;
379,5;3,468;;;
380;3,424;;;
380,5;3,351;;;
381;3,293;;;
381,5;3,237;;;
382;3,177;;;
382,5;3,144;;;
383;3,141;;;
383,5;3,169;;;
384;3,175;;;
384,5;3,193;;;
385;3,2;;;
385,5;3,154;;;
386;3,137;;;
386,5;3,141;;;
387;3,07;;;
387,5;3,024;;;
388;3,012;;;
388,5;2,994;;;
389;2,95;;;
389,5;2,895;;;
390;2,872;;;
390,5;2,87;;;
391;2,947;;;
391,5;2,978;;;
392;2,979;;;
392,5;3,001;;;
393;3,01;;;
393,5;2,984;;;
394;2,966;;;
394,5;2,915;;;
395;2,921;;;
395,5;2,87;;;
396;2,799;;;
396,5;2,665;;;
397;2,575;;;
397,5;2,513;;;
398;2,447;;;
398,5;2,438;;;
399;2,461;;;
399,5;2,45;;;
400;2,409;;;
400,5;2,363;;;
401;2,286;;;
401,5;2,223;;;
402;2,195;;;
402,5;2,183;;;
403;2,2;;;
403,5;2,241;;;
404;2,292;;;
404,5;2,308;;;
405;2,306;;;
405,5;2,291;;;
406;2,278;;;
406,5;2,27;;;
407;2,23;;;
407,5;2,175;;;
408;2,128;;;
408,5;2,086;;;
409;2,095;;;
409,5;2,072;;;
410;2,005;;;
410,5;1,926;;;
411;1,967;;;
411,5;1,996;;;
412;2,001;;;
412,5;1,977;;;
413;1,942;;;
413,5;1,905;;;
414;1,876;;;
414,5;1,818;;;
415;1,73;;;
415,5;1,673;;;
416;1,659;;;
416,5;1,64;;;
417;1,629;;;
417,5;1,667;;;
418;1,695;;;
418,5;1,699;;;
419;1,716;;;
419,5;1,791;;;
420;1,812;;;
420,5;1,811;;;
421;1,778;;;
421,5;1,74;;;
422;1,735;;;
422,5;1,772;;;
423;1,776;;;
423,5;1,762;;;
424;1,765;;;
424,5;1,733;;;
425;1,627;;;
425,5;1,523;;;
426;1,479;;;
426,5;1,39;;;
427;1,393;;;
427,5;1,429;;;
428;1,443;;;
428,5;1,49;;;
429;1,466;;;
429,5;1,39;;;
430;1,305;;;
430,5;1,224;;;
431;1,187;;;
431,5;1,111;;;
432;1,088;;;
432,5;1,122;;;
433;1,154;;;
433,5;1,197;;;
434;1,203;;;
434,5;1,2;;;
435;1,199;;;
435,5;1,191;;;
436;1,166;;;
436,5;1,115;;;
437;1,091;;;
437,5;1,105;;;
438;1,117;;;
438,5;1,097;;;
439;1,115;;;
439,5;1,095;;;
440;1,083;;;
440,5;1,055;;;
441;1,029;;;
441,5;1,025;;;
442;1;;;
442,5;1,009;;;
443;0,992;;;
443,5;0,958;;;
444;0,978;;;
444,5;0,986;;;
445;0,991;;;
445,5;1;;;
446;1,064;;;
446,5;1,1;;;
447;1,101;;;
447,5;1,084;;;
448;1,067;;;
448,5;1,014;;;
449;1,014;;;
449,5;0,97;;;
450;0,89;;;
450,5;0,833;;;
451;0,81;;;
451,5;0,77;;;
452;0,715;;;
452,5;0,666;;;
453;0,641;;;
453,5;0,604;;;
454;0,599;;;
454,5;0,565;;;
455;0,521;;;
455,5;0,502;;;
456;0,51;;;
456,5;0,477;;;
457;0,474;;;
457,5;0,486;;;
458;0,474;;;
458,5;0,477;;;
459;0,485;;;
459,5;0,486;;;
460;0,527;;;
460,5;0,551;;;
461;0,578;;;
461,5;0,561;;;
462;0,524;;;
462,5;0,482;;;
463;0,417;;;
463,5;0,397;;;
464;0,396;;;
464,5;0,349;;;
465;0,333;;;
465,5;0,327;;;
466;0,292;;;
466,5;0,251;;;
467;0,163;;;
467,5;0,112;;;
468;0,121;;;
468,5;0,153;;;
469;0,175;;;
469,5;0,14;;;
470;0,139;;;
470,5;0,147;;;
471;0,135;;;
471,5;0,157;;;
472;0,146;;;
472,5;0,173;;;
473;0,189;;;
473,5;0,235;;;
474;0,203;;;
474,5;0,146;;;
475;0,093;;;
475,5;0,053;;;
476;-0,005;;;
476,5;-0,078;;;
477;-0,112;;;
477,5;-0,132;;;
478;-0,144;;;
478,5;-0,116;;;
479;-0,107;;;
479,5;-0,12;;;
480;-0,146;;;
480,5;-0,145;;;
481;-0,198;;;
481,5;-0,231;;;
482;-0,195;;;
482,5;-0,149;;;
483;-0,08;;;
483,5;-0,013;;;
484;0,044;;;
484,5;0,07;;;
485;0,108;;;
485,5;0,15;;;
486;0,161;;;
486,5;0,173;;;
487;0,205;;;
487,5;0,257;;;
488;0,279;;;
488,5;0,241;;;
489;0,193;;;
489,5;0,14;;;
490;0,088;;;
490,5;0,03;;;
491;-0,02;;;
491,5;-0,056;;;
492;-0,068;;;
492,5;-0,06;;;
493;-0,076;;;
493,5;-0,151;;;
494;-0,136;;;
494,5;-0,142;;;
495;-0,175;;;
495,5;-0,177;;;
496;-0,157;;;
496,5;-0,145;;;
497;-0,152;;;
497,5;-0,191;;;
498;-0,221;;;
498,5;-0,279;;;
499;-0,289;;;
499,5;-0,334;;;
500;-0,389;;;
500,5;-0,354;;;
501;-0,35;;;
501,5;-0,336;;;
502;-0,33;;;
502,5;-0,297;;;
503;-0,259;;;
503,5;-0,233;;;
504;-0,233;;;
504,5;-0,25;;;
505;-0,248;;;
505,5;-0,229;;;
506;-0,266;;;
506,5;-0,282;;;
507;-0,317;;;
507,5;-0,329;;;
508;-0,337;;;
508,5;-0,359;;;
509;-0,388;;;
509,5;-0,385;;;
510;-0,345;;;
510,5;-0,31;;;
511;-0,326;;;
511,5;-0,326;;;
512;-0,305;;;
512,5;-0,246;;;
513;-0,223;;;
513,5;-0,189;;;
514;-0,184;;;
514,5;-0,204;;;
515;-0,234;;;
515,5;-0,315;;;
516;-0,393;;;
516,5;-0,445;;;
517;-0,444;;;
517,5;-0,403;;;
518;-0,383;;;
518,5;-0,36;;;
519;-0,339;;;
519,5;-0,339;;;
520;-0,334;;;
520,5;-0,291;;;
521;-0,291;;;
521,5;-0,337;;;
522;-0,357;;;
522,5;-0,399;;;
523;-0,42;;;
523,5;-0,453;;;
524;-0,437;;;
524,5;-0,354;;;
525;-0,304;;;
525,5;-0,254;;;
526;-0,323;;;
526,5;-0,402;;;
527;-0,422;;;
527,5;-0,456;;;
528;-0,473;;;
528,5;-0,436;;;
529;-0,348;;;
529,5;-0,243;;;
530;-0,223;;;
530,5;-0,238;;;
531;-0,321;;;
531,5;-0,349;;;
532;-0,357;;;
532,5;-0,387;;;
533;-0,419;;;
533,5;-0,439;;;
534;-0,46;;;
534,5;-0,485;;;
535;-0,501;;;
535,5;-0,549;;;
536;-0,56;;;
536,5;-0,525;;;
537;-0,497;;;
537,5;-0,471;;;
538;-0,497;;;
538,5;-0,551;;;
539;-0,594;;;
539,5;-0,61;;;
540;-0,535;;;
540,5;-0,492;;;
541;-0,43;;;
541,5;-0,353;;;
542;-0,268;;;
542,5;-0,244;;;
543;-0,287;;;
543,5;-0,358;;;
544;-0,395;;;
544,5;-0,413;;;
545;-0,388;;;
545,5;-0,455;;;
546;-0,541;;;
546,5;-0,592;;;
547;-0,648;;;
547,5;-0,745;;;
548;-0,794;;;
548,5;-0,834;;;
549;-0,79;;;
549,5;-0,73;;;
550;-0,657;;;
550,5;-0,643;;;
551;-0,624;;;
551,5;-0,653;;;
552;-0,677;;;
552,5;-0,734;;;
553;-0,762;;;
553,5;-0,808;;;
554;-0,817;;;
554,5;-0,851;;;
555;-0,864;;;
555,5;-0,825;;;
556;-0,753;;;
556,5;-0,772;;;
557;-0,748;;;
557,5;-0,738;;;
558;-0,733;;;
558,5;-0,694;;;
559;-0,708;;;
559,5;-0,712;;;
560;-0,745;;;
560,5;-0,769;;;
561;-0,823;;;
561,5;-0,913;;;
562;-0,963;;;
562,5;-0,965;;;
563;-0,927;;;
563,5;-0,872;;;
564;-0,866;;;
564,5;-0,804;;;
565;-0,819;;;
565,5;-0,831;;;
566;-0,835;;;
566,5;-0,853;;;
567;-0,884;;;
567,5;-0,88;;;
568;-0,889;;;
568,5;-0,921;;;
569;-0,951;;;
569,5;-0,898;;;
570;-0,896;;;
570,5;-0,826;;;
571;-0,783;;;
571,5;-0,769;;;
572;-0,795;;;
572,5;-0,801;;;
573;-0,857;;;
573,5;-0,924;;;
574;-0,912;;;
574,5;-0,821;;;
575;-0,78;;;
575,5;-0,745;;;
576;-0,7;;;
576,5;-0,721;;;
577;-0,79;;;
577,5;-0,822;;;
578;-0,873;;;
578,5;-0,944;;;
579;-0,948;;;
579,5;-1,018;;;
580;-1,048;;;
580,5;-1,045;;;
581;-0,981;;;
581,5;-0,986;;;
582;-0,99;;;
582,5;-0,951;;;
583;-0,866;;;
583,5;-0,853;;;
584;-0,811;;;
584,5;-0,884;;;
585;-0,846;;;
585,5;-0,804;;;
586;-0,778;;;
586,5;-0,777;;;
587;-0,772;;;
587,5;-0,799;;;
588;-0,789;;;
588,5;-0,865;;;
589;-0,887;;;
589,5;-0,941;;;
590;-0,943;;;
590,5;-0,952;;;
591;-1,028;;;
591,5;-1,018;;;
592;-1,036;;;
592,5;-1,077;;;
593;-1,075;;;
593,5;-1,04;;;
594;-0,99;;;
594,5;-0,93;;;
595;-0,861;;;
595,5;-0,837;;;
596;-0,791;;;
596,5;-0,747;;;
597;-0,765;;;
597,5;-0,834;;;
598;-0,881;;;
598,5;-0,91;;;
599;-0,942;;;
599,5;-0,953;;;
600;-0,946;;;
600,5;-0,957;;;
601;-0,915;;;
601,5;-0,91;;;
602;-0,854;;;
602,5;-0,856;;;
603;-0,839;;;
603,5;-0,807;;;
604;-0,786;;;
604,5;-0,808;;;
605;-0,859;;;
605,5;-0,923;;;
606;-0,952;;;
606,5;-0,976;;;
607;-0,953;;;
607,5;-0,946;;;
608;-0,943;;;
608,5;-0,912;;;
609;-0,856;;;
609,5;-0,852;;;
610;-0,882;;;
610,5;-0,892;;;
611;-0,852;;;
611,5;-0,84;;;
612;-0,876;;;
612,5;-0,901;;;
613;-0,931;;;
613,5;-0,962;;;
614;-0,939;;;
614,5;-0,986;;;
615;-1,019;;;
615,5;-1,069;;;
616;-1,121;;;
616,5;-1,151;;;
617;-1,175;;;
617,5;-1,17;;;
618;-1,106;;;
618,5;-1,082;;;
619;-1,034;;;
619,5;-1,017;;;
620;-0,936;;;
620,5;-0,952;;;
621;-1;;;
621,5;-1,019;;;
622;-1,06;;;
622,5;-1,114;;;
623;-1,18;;;
623,5;-1,25;;;
624;-1,23;;;
624,5;-1,208;;;
625;-1,145;;;
625,5;-1,068;;;
626;-0,938;;;
626,5;-0,827;;;
627;-0,757;;;
627,5;-0,699;;;
628;-0,676;;;
628,5;-0,683;;;
629;-0,693;;;
629,5;-0,771;;;
630;-0,899;;;
630,5;-1,007;;;
631;-1,061;;;
631,5;-1,137;;;
632;-1,18;;;
632,5;-1,146;;;
633;-1,076;;;
633,5;-1,019;;;
634;-0,969;;;
634,5;-0,957;;;
635;-0,988;;;
635,5;-1,03;;;
636;-1,053;;;
636,5;-1,091;;;
637;-1,175;;;
637,5;-1,199;;;
638;-1,205;;;
638,5;-1,21;;;
639;-1,224;;;
639,5;-1,221;;;
640;-1,22;;;
640,5;-1,137;;;
641;-1,134;;;
641,5;-1,137;;;
642;-1,115;;;
642,5;-1,035;;;
643;-1,004;;;
643,5;-0,96;;;
644;-0,921;;;
644,5;-0,945;;;
645;-0,977;;;
645,5;-0,892;;;
646;-0,895;;;
646,5;-0,895;;;
647;-0,911;;;
647,5;-0,906;;;
648;-0,911;;;
648,5;-0,937;;;
649;-0,947;;;
649,5;-0,945;;;
650;-0,89;;;
650,5;-0,737;;;
651;-0,663;;;
651,5;-0,649;;;
652;-0,731;;;
652,5;-0,781;;;
653;-0,825;;;
653,5;-0,963;;;
654;-0,983;;;
654,5;-0,9;;;
655;-0,83;;;
655,5;-0,724;;;
656;-0,671;;;
656,5;-0,651;;;
657;-0,699;;;
657,5;-0,719;;;
658;-0,699;;;
658,5;-0,773;;;
659;-0,737;;;
659,5;-0,73;;;
660;-0,774;;;
660,5;-0,786;;;
661;-0,8;;;
661,5;-0,847;;;
662;-0,903;;;
662,5;-0,941;;;
663;-0,908;;;
663,5;-0,888;;;
664;-0,868;;;
664,5;-0,896;;;
665;-0,893;;;
665,5;-0,925;;;
666;-0,929;;;
666,5;-0,949;;;
667;-1,005;;;
667,5;-1,053;;;
668;-1,09;;;
668,5;-1,143;;;
669;-1,158;;;
669,5;-1,19;;;
670;-1,22;;;
670,5;-1,204;;;
671;-1,12;;;
671,5;-1,007;;;
672;-0,924;;;
672,5;-0,88;;;
673;-0,91;;;
673,5;-0,94;;;
674;-0,922;;;
674,5;-0,976;;;
675;-1,009;;;
675,5;-0,99;;;
676;-1,032;;;
676,5;-1,052;;;
677;-1,023;;;
677,5;-1,056;;;
678;-1,127;;;
678,5;-1,104;;;
679;-1,094;;;
679,5;-1,115;;;
680;-1,078;;;
680,5;-1,099;;;
681;-1,191;;;
681,5;-1,196;;;
682;-1,175;;;
682,5;-1,182;;;
683;-1,073;;;
683,5;-1,001;;;
684;-1,019;;;
684,5;-0,996;;;
685;-0,963;;;
685,5;-1,004;;;
686;-1,076;;;
686,5;-1,05;;;
687;-1,043;;;
687,5;-1,085;;;
688;-1,005;;;
688,5;-0,993;;;
689;-1,077;;;
689,5;-1,089;;;
690;-1,117;;;
690,5;-1,173;;;
691;-1,168;;;
691,5;-1,109;;;
692;-1,117;;;
692,5;-1,217;;;
693;-1,207;;;
693,5;-1,251;;;
694;-1,364;;;
694,5;-1,387;;;
695;-1,439;;;
695,5;-1,386;;;
696;-1,268;;;
696,5;-1,21;;;
697;-1,172;;;
697,5;-1,153;;;
698;-1,036;;;
698,5;-0,966;;;
699;-0,854;;;
699,5;-0,775;;;
700;-0,767;;;
700,5;-0,705;;;
701;-0,726;;;
701,5;-0,852;;;
702;-0,901;;;
702,5;-0,91;;;
703;-0,911;;;
703,5;-0,928;;;
704;-0,931;;;
704,5;-0,917;;;
705;-0,984;;;
705,5;-1,027;;;
706;-1,069;;;
706,5;-1,175;;;
707;-1,178;;;
707,5;-1,201;;;
708;-1,259;;;
708,5;-1,318;;;
709;-1,336;;;
709,5;-1,333;;;
710;-1,403;;;
710,5;-1,378;;;
711;-1,248;;;
711,5;-1,151;;;
712;-1,046;;;
712,5;-1,033;;;
713;-1,07;;;
713,5;-1,103;;;
714;-1,128;;;
714,5;-1,159;;;
715;-1,189;;;
715,5;-1,155;;;
716;-1,055;;;
716,5;-0,951;;;
717;-0,98;;;
717,5;-1;;;
718;-0,976;;;
718,5;-0,969;;;
719;-0,977;;;
719,5;-0,916;;;
720;-0,926;;;
720,5;-0,895;;;
721;-0,988;;;
721,5;-1,046;;;
722;-1,206;;;
722,5;-1,223;;;
723;-1,196;;;
723,5;-1,253;;;
724;-1,322;;;
724,5;-1,254;;;
725;-1,221;;;
725,5;-1,216;;;
726;-1,198;;;
726,5;-1,135;;;
727;-1,069;;;
727,5;-0,927;;;
728;-0,872;;;
728,5;-0,825;;;
729;-0,839;;;
729,5;-0,849;;;
730;-0,95;;;
730,5;-1,085;;;
731;-1,195;;;
731,5;-1,318;;;
732;-1,335;;;
732,5;-1,317;;;
733;-1,302;;;
733,5;-1,144;;;
734;-1,052;;;
734,5;-1,003;;;
735;-1,014;;;
735,5;-1,041;;;
736;-1,154;;;
736,5;-1,217;;;
737;-1,225;;;
737,5;-1,313;;;
738;-1,372;;;
738,5;-1,295;;;
739;-1,335;;;
739,5;-1,338;;;
740;-1,361;;;
740,5;-1,37;;;
741;-1,368;;;
741,5;-1,267;;;
742;-1,18;;;
742,5;-1,175;;;
743;-1,135;;;
743,5;-1,017;;;
744;-1,013;;;
744,5;-0,938;;;
745;-0,879;;;
745,5;-0,804;;;
746;-0,773;;;
746,5;-0,78;;;
747;-0,865;;;
747,5;-0,96;;;
748;-0,992;;;
748,5;-0,995;;;
749;-1,058;;;
749,5;-1,044;;;
750;-0,985;;;
750,5;-0,916;;;
751;-0,878;;;
751,5;-0,869;;;
752;-0,882;;;
752,5;-0,928;;;
753;-0,918;;;
753,5;-0,982;;;
754;-1,193;;;
754,5;-1,341;;;
755;-1,393;;;
755,5;-1,389;;;
756;-1,362;;;
756,5;-1,272;;;
757;-1,263;;;
757,5;-1,205;;;
758;-1,135;;;
758,5;-1,094;;;
759;-1,134;;;
759,5;-1,15;;;
760;-1,078;;;
760,5;-1,087;;;
761;-1,127;;;
761,5;-1,094;;;
762;-1,185;;;
762,5;-1,296;;;
763;-1,384;;;
763,5;-1,42;;;
764;-1,459;;;
764,5;-1,448;;;
765;-1,374;;;
765,5;-1,373;;;
766;-1,307;;;
766,5;-1,196;;;
767;-1,249;;;
767,5;-1,302;;;
768;-1,328;;;
768,5;-1,272;;;
769;-1,23;;;
769,5;-1,188;;;
