Muestra 1;;;;
23/06/2023 20:11;;;;
Longitud de onda (nm);10mm Absorbance;;;
//WLCalib: Shift;-0,04667;;;
//WLCalib: 261S;0,05;;;
//WLCalib: 362S;0,17;;;
//WLCalib: 484S;0,16;;;
//WLCalib: 529S;0,29;;;
//WLCalib: 823S;0,07;;;
//QSpecEnd:;;;;
375;4,503;4,501;3,516;3,637
375,5;4,509;4,441;3,534;3,589
376;4,528;4,422;3,574;3,588
376,5;4,455;4,371;3,61;3,559
377;4,419;4,39;3,641;3,573
377,5;4,38;4,351;3,665;3,562
378;4,387;4,32;3,651;3,57
378,5;4,473;4,319;3,626;3,613
379;4,455;4,318;3,595;3,665
379,5;4,364;4,278;3,468;3,595
380;4,384;4,202;3,424;3,547
380,5;4,367;4,108;3,351;3,47
381;4,3;3,974;3,293;3,407
381,5;4,236;3,901;3,237;3,358
382;4,166;3,91;3,177;3,33
382,5;4,114;3,875;3,144;3,312
383;4,139;3,833;3,141;3,318
383,5;4,196;3,837;3,169;3,335
384;4,158;3,816;3,175;3,329
384,5;4,084;3,848;3,193;3,34
385;4,016;3,816;3,2;3,277
385,5;3,918;3,712;3,154;3,193
386;3,788;3,645;3,137;3,141
386,5;3,769;3,743;3,141;3,148
387;3,806;3,757;3,07;3,098
387,5;3,79;3,68;3,024;3,12
388;3,801;3,659;3,012;3,107
388,5;3,731;3,571;2,994;3,059
389;3,703;3,492;2,95;3,053
389,5;3,581;3,411;2,895;2,997
390;3,522;3,336;2,872;2,941
390,5;3,451;3,329;2,87;2,917
391;3,503;3,461;2,947;2,95
391,5;3,534;3,581;2,978;2,991
392;3,589;3,607;2,979;3,001
392,5;3,59;3,626;3,001;3,061
393;3,609;3,691;3,01;3,081
393,5;3,538;3,646;2,984;3,045
394;3,566;3,627;2,966;3,04
394,5;3,524;3,522;2,915;2,976
395;3,599;3,493;2,921;2,965
395,5;3,567;3,442;2,87;2,91
396;3,533;3,344;2,799;2,83
396,5;3,394;3,205;2,665;2,743
397;3,341;3,127;2,575;2,699
397,5;3,275;3,063;2,513;2,69
398;3,224;2,99;2,447;2,649
398,5;3,186;2,962;2,438;2,629
399;3,206;2,969;2,461;2,65
399,5;3,16;2,892;2,45;2,65
400;3,135;2,822;2,409;2,648
400,5;3,079;2,751;2,363;2,619
401;2,941;2,641;2,286;2,547
401,5;2,829;2,583;2,223;2,501
402;2,845;2,544;2,195;2,45
402,5;2,854;2,551;2,183;2,436
403;2,872;2,617;2,2;2,392
403,5;2,88;2,7;2,241;2,379
404;2,93;2,779;2,292;2,397
404,5;2,987;2,844;2,308;2,433
405;3,012;2,885;2,306;2,452
405,5;2,975;2,891;2,291;2,451
406;2,919;2,884;2,278;2,467
406,5;2,888;2,872;2,27;2,478
407;2,88;2,789;2,23;2,428
407,5;2,859;2,691;2,175;2,407
408;2,832;2,644;2,128;2,364
408,5;2,816;2,584;2,086;2,278
409;2,851;2,53;2,095;2,269
409,5;2,827;2,461;2,072;2,214
410;2,738;2,349;2,005;2,132
410,5;2,585;2,29;1,926;2,089
411;2,571;2,307;1,967;2,113
411,5;2,593;2,322;1,996;2,133
412;2,57;2,272;2,001;2,144
412,5;2,569;2,229;1,977;2,144
413;2,529;2,28;1,942;2,145
413,5;2,5;2,25;1,905;2,105
414;2,415;2,203;1,876;2,074
414,5;2,282;2,089;1,818;1,997
415;2,209;1,988;1,73;1,925
415,5;2,139;1,994;1,673;1,871
416;2,19;2,002;1,659;1,825
416,5;2,278;1,998;1,64;1,803
417;2,309;1,977;1,629;1,811
417,5;2,411;2,113;1,667;1,845
418;2,457;2,222;1,695;1,879
418,5;2,436;2,255;1,699;1,916
419;2,316;2,299;1,716;1,923
419,5;2,282;2,339;1,791;1,98
420;2,301;2,376;1,812;2,023
420,5;2,29;2,382;1,811;2,01
421;2,28;2,3;1,778;1,965
421,5;2,244;2,203;1,74;1,902
422;2,255;2,165;1,735;1,877
422,5;2,321;2,238;1,772;1,895
423;2,348;2,243;1,776;1,897
423,5;2,326;2,242;1,762;1,93
424;2,322;2,267;1,765;1,949
424,5;2,368;2,268;1,733;1,946
425;2,356;2,184;1,627;1,904
425,5;2,282;2,044;1,523;1,813
426;2,273;1,957;1,479;1,751
426,5;2,157;1,834;1,39;1,659
